language;glottocode;lemma;pos;reference;meaning_ru;morph_deleted;target_ipa_morph;derived;target_ipa;russian_ipa;metathesis;problems;total_segments;match_count
Akhvakh;akhv1239;америка?цо;noun;Magomedova, Abdulayeva 2007;Америка;-o, PL;a-m-e-r-i-k-a?-ts-o;;a-m-e-r-i-k-a?-0-0-ts;A-m-'e-r-I-k-A-n-E-ts;;;10;7
Avar;avar1256;америка?на/л;noun;Gimbatov 2006;Америка;-al, PL;a-m-e-r-i-k-'a-n-a-l;1;a-m-e-r-i-k-'a-n;A-m?-'e-r?-I-k-A-n;;;8;8
Bagvalal;bagv1239;АМЕРИК?НА/Д/И;noun;Magomedova 2004;Америка;-adi, PL;a-m-e-r-i-k-'a-n-a-d-i;;a-m-e-r-i-k-'a-n;A-m-'e-r-I-k-A-n;;;7;7
Godoberi;ghod1238;АМЕРИКЯ?НА/Л;noun;Saidova 2006;Америка;-al, PL;a-m-e-r-i-k?-'a-n-a-l;1;a-m-e-r-i-k-'a-n;A-m-'e-r-I-k-A-n;;;7;7
Botlikh;botl1242;амана?л;noun;Alekseev, Azayev 2019;аммонал;;;;a-m-a-n-'a-l;A-m-A-n-'a-l;;;6;6
Avar;avar1256;амн?стия;noun;Gimbatov 2006;амнистия;;;;a-m-n-'i-s-t-i-j-a;A-m-n?-'i-s-t?-I-j-A;;;9;9
Botlikh;botl1242;амни?си;noun;Alekseev, Azayev 2019;амнистия;;;;a-m-n-'i-s-0-i-0-0;A-m-n?-'i-s-t?-I-j-A;;;9;6
Avar;avar1256;анса?мбл/ь;noun;Gimbatov 2006;ансамбль;;;;a-n-s-'a-m-b-l;A-n-s-'a-m-b-l?;;;7;7
Bagvalal;bagv1239;А??С?БИЛ;noun;Magomedova 2004;ансамбль;;;;a?-0-s?-'a-0-b-i-l;A-n-s-'a-m-b-0-l?;;;8;1
Botlikh;botl1242;ансса?мбил;noun;Alekseev, Azayev 2019;ансамбль;;;;a-n-s?-'a-m-b-i-l;A-n-s-'a-m-b-0-l?;;;8;7
Avar;avar1256;ант?нна;noun;Gimbatov 2006;антенна;;;;a-n-t-'e-n-a;A-n-t-'e-n-A;;;6;6
Bagvalal;bagv1239;А?Т?НА;noun;Magomedova 2004;антенна;;;;a?-0-t-'e-n-a;A-n-t-'e-n-A;;;6;1
Botlikh;botl1242;анте?на;noun;Alekseev, Azayev 2019;антенна;;;;a-n-t-'e-n-a;A-n-t-'e-n-A;;;6;6
Avar;avar1256;апельс?н;noun;Gimbatov 2006;апельсин;;;;a-p-e-l-s-'i-n;A-p?-E-l?-s?-'i-n;;;7;7
Botlikh;botl1242;апилси?н;noun;Alekseev, Azayev 2019;апельсин;;;;a-p-i-l-s-'i-n;A-p?-E-l?-s?-'i-n;;;7;6
Avar;avar1256;аппара?т;noun;Gimbatov 2006;аппарат;;;;a-p-p-a-r-'a-t;A-p-0-A-r-'a-t;;;7;6
Botlikh;botl1242;апара?т;noun;Alekseev, Azayev 2019;аппарат;;;;a-p-a-r-'a-t;A-p-A-r-'a-t;;;6;6
Godoberi;ghod1238;АПАР?Т/И;noun;Saidova 2006;аппарат;;;;a-p-a-r-'a-t-i;A-p-A-r-'a-t-0;;;7;6
Avar;avar1256;апр?л/ь;noun;Gimbatov 2006;апрель;;;;a-p-r-'e-l;A-p-r?-'e-l?;;;5;5
Bagvalal;bagv1239;АПР?ЛБО?С?I;noun;Magomedova 2004;апрель;bo:s', month;a-p-r-'e-l-b-o:-s';;a-p-r-'e-l;A-p-r?-'e-l?;;;5;5
Botlikh;botl1242;апре?л;noun;Alekseev, Azayev 2019;апрель;;;;a-p-r-'e-l;A-p-r?-'e-l?;;;5;5
Godoberi;ghod1238;АПР?Л;noun;Saidova 2006;апрель;;;;a-p-r-'e-l;A-p-r?-'e-l?;;;5;5
Avar;avar1256;апт?к/а;noun;Gimbatov 2006;аптека;;;;a-p-t-'e-k-a;A-p-t?-'e-k-A;;;6;6
Bagvalal;bagv1239;АБТ?КА;noun;Magomedova 2004;аптека;;;;a-b-t-'e-k-a;A-p-t?-'e-k-A;;;6;5
Botlikh;botl1242;апте?ка;noun;Alekseev, Azayev 2019;аптека;;;;a-p-t-'e-k-a;A-p-t?-'e-k-A;;;6;6
Botlikh;botl1242;абте?ка;noun;Saidova, Abusov 2012;аптека;;;;a-b-t-'e-k-a;A-p-t?-'e-k-A;;;6;5
Godoberi;ghod1238;АБТ?КА;noun;Saidova 2006;аптека;;;;a-b-t-'e-k-a;A-p-t?-'e-k-A;;;6;5
Bagvalal;bagv1239;АБТ?ИКАР;noun;Magomedova 2004;аптекарь;;;;a-b-t-'i-k-a-r;A-p-t?-'e-k-A-r?;;;7;5
Botlikh;botl1242;апте?кар;noun;Alekseev, Azayev 2019;аптекарь;;;;a-p-t-'e-k-a-r;A-p-t?-'e-k-A-r?;;;7;7
Avar;avar1256;хъарп?з;noun;Gimbatov 2006;арбуз;;;;q-a-r-p-'u-z;0-A-r-b-'u-Z;;;6;4
Botlikh;botl1242;хъарпу?з;noun;Saidova, Abusov 2012;арбуз;;;;q-a-r-p-'u-z;0-A-r-b-'u-Z;;;6;4
Botlikh;botl1242;аре?нда;noun;Saidova, Abusov 2012;аренда;;;;a-r-'e-n-d-a;A-r?-'e-n-d-A;;;6;6
Avar;avar1256;арифм?тика;noun;Gimbatov 2006;арифметика;;;;a-r-i-f-m-'e-t-i-k-a;A-r?-I-f-m?-'e-t?-I-k-A;;;10;10
Botlikh;botl1242;арипме?тика;noun;Saidova, Abusov 2012;арифметика;;;;a-r-i-p-m-'e-t-i-k-a;A-r?-I-f-m?-'e-t?-I-k-A;;;10;9
Godoberi;ghod1238;АРИПМ?ТИКА;noun;Saidova 2006;арифметика;;;;a-r-i-p-m-'e-t-i-k-a;A-r?-I-f-m?-'e-t?-I-k-A;;;10;9
Botlikh;botl1242;эрмани?йа;noun;Alekseev, Azayev 2019;Армения;;;;e-r-m-a-n-'i-j-a;A-r-m?-'e-n?-I-j-A;;;8;6
Avar;avar1256;а?рмия;noun;Gimbatov 2006;армия;;;;a-r-m-i-j-a;'a-r-m?-I-j-A;;;6;6
Karata-Tukita;kara1474;А'РМИ;noun;Magomedova, Khalidova 2001;армия;;;;a-r-m-i-0-0;'a-r-m?-I-j-A;;;6;4
Akhvakh;akhv1239;арме'но;noun;Magomedova, Abdulayeva 2007;Армения;-o, PL;a-r-m-'e-n-o;;a-r-m-'e-n;A-r-m?-'a-n;;;5;4
Bagvalal;bagv1239;ЭРМЕН?ИЙАДИ;;Magomedova 2004;Армения;-di, PL;e-r-m-e-n-'i-j-a-d-i;1;e-r-m-e-n-'i-j-a;A-r-m?-'e-n?-I-j-A;;;8;7
Botlikh;botl1242;эрме?нийал;noun;Saidova, Abusov 2012;Армения;-l, PL;e-r-m-'e-n-i-j-a-l;1;e-r-m-'e-n-i-j-a;A-r-m?-'e-n?-I-j-A;;;8;7
